S.No.,Area,Total Population,Total Population Age 7 and Above,Total Males,Total Females,Illiterate Population,Illiterate Males,Illiterate Females,Literate Population,Literate Males,Literate Females,Literate without educational level Population ,Literate without educational level Males,Literate without educational level Females,Below primary Population,Below primary Males,Below primary Females,Primary Population,Primary Males,Primary Females,Middle Population,Middle Males,Middle Females,Matric/Secondary Population,Matric/Secondary Males,Matric/Secondary Females,Higher secondary/Intermediate Pre-University/Senior secondaryPopulation,Higher secondary/Intermediate Pre-University/Senior secondary Males,Higher secondary/Intermediate Pre-University/Senior secondary Females,Non-technical diploma or certificate not equal to degree Population ,Non-technical diploma or certificate not equal to degree Males,Non-technical diploma or certificate not equal to degree Females,Technical diploma or certificate not equal to degree Population,Technical diploma or certificate not equal to degree Males,Technical diploma or certificate not equal to degree Females,Graduate & above Population,Graduate & above Males,Graduate & above Females,Unclassified Population,Unclassified Males,Unclassified Females,Literacy Rate (2001) (%),Literacy Rate 1991 (%),Change in Literacy Rate (1991 & 2001)(%),(Total Population 1991),Growth Rate (1991 & 2001) (%)
1,INDIA,1028610328,864790714,532156772,496453556,467922531,195623056,272299475,560687797,336533716,224154081,20022966,11361139,8661827,144831273,81148130,63683143,146740047,83525450,63214597,90226846,55940422,34286424,79229721,51201516,28028205,37816215,24596339,13219876,386146,258604,127542,3666680,2900839,765841,37670147,25533308,12136839,97756,67969,29787,64.8350852897803,52.2154525824327,12.6196327073476," 846,421,039 ",21.5246645115588
2,State - JAMMU & KASHMIR  01,10143700,8657897,5360926,4782774,5336414,2300298,3036116,4807286,3060628,1746658,246932,135290,111642,860480,496517,363963,1031707,617935,413772,1074049,710489,363560,914050,638612,275438,339163,225426,113737,1087,807,280,7493,6317,1176,331548,228649,102899,777,586,191,55.5248693764779,0,55.5248693764779," 7,837,051 ",29.4326143851814
3,State - HIMACHAL PRADESH  02,6077900,5284763,3087940,2989960,2036279,809554,1226725,4041621,2278386,1763235,59560,30710,28850,816877,440504,376373,1109971,562768,547203,690693,391813,298880,812699,508847,303852,289868,171923,117945,6172,2692,3480,34456,24401,10055,220770,144396,76374,555,332,223,76.4768637685361,63.8595334994744,12.6173302690617," 5,170,877 ",17.5409896619084
4,State - PUNJAB  03,24358999,21187170,12985045,11373954,9602029,4542752,5059277,14756970,8442293,6314677,245444,125467,119977,2705535,1538004,1167531,3785055,1997111,1787944,2498421,1480902,1017519,3251624,1995039,1256585,1151238,672735,478503,19906,8343,11563,129741,81951,47790,966747,540747,426000,3259,1994,1265,69.6505007511621,58.5077608471957,11.1427399039665," 20,281,969 ",20.1017465316114
5,State - CHANDIGARH  04,900635,785022,506938,393697,257390,124252,133138,643245,382686,260559,5945,3444,2501,88518,50888,37630,115349,66155,49194,90111,55766,34345,124607,79197,45410,69718,41533,28185,1223,359,864,8854,5966,2888,138441,79120,59321,479,258,221,81.9397418161529,77.8148999075506,4.12484190860228," 642,015 ",40.2825479155472
6,State - UTTARANCHAL  05,8489349,7129317,4325924,4163425,3383567,1317049,2066518,5105782,3008875,2096907,109432,60951,48481,1156890,625981,530909,1275501,696187,579314,977893,613423,364470,643644,423212,220432,458895,283781,175114,1481,1018,463,20619,16852,3767,460155,286826,173329,1272,644,628,71.6167060603421,0,71.6167060603421," 7,050,634 ",20.4054699194427
7,State - HARYANA  06,21144564,17809027,11363953,9780611,9050887,3883744,5167143,12093677,7480209,4613468,169982,93084,76898,2687232,1541553,1145679,3226643,1854447,1372196,2018523,1275057,743466,2239510,1559586,679924,831595,555791,275804,16446,6768,9678,103467,76712,26755,798689,516179,282510,1590,1032,558,67.9075673252671,55.8460543652854,12.0615129599817," 16,463,648 ",28.4318275026288
8,State - DELHI  07,13850507,11833658,7607234,6243273,4185743,1906387,2279356,9664764,5700847,3963917,96319,54600,41719,1534913,852975,681938,1967466,1093728,873738,1531690,929152,602538,1691495,1077847,613648,1027524,618977,408547,8747,5019,3728,42848,31481,11367,1761915,1035757,726158,1847,1311,536,81.6718211731318,75.2861933986992,6.38562777443252," 9,420,644 ",47.022931765599
9,State - RAJASTHAN  08,56507188,45856186,29420011,27087177,28805178,11372854,17432324,27702010,18047157,9654853,1745915,864680,881235,8994262,5247851,3746411,7047927,4591114,2456813,4330343,3163807,1166536,2903808,2190474,713334,1168642,871281,297361,7034,5456,1578,32231,26280,5951,1471813,1086184,385629,35,30,5,60.4106281320474,38.5503215711562,21.8603065608912," 44,005,990 ",28.4079462818584
10,State - UTTAR PRADESH  09,166197921,134573293,87565369,78632552,90478637,38663956,51814681,75719284,48901413,26817871,3272335,1961714,1310621,19226939,11278968,7947971,18694554,11368153,7326401,14329834,9819868,4509966,9121682,6561958,2559724,5961518,4205753,1755765,30477,21973,8504,95153,83190,11963,4969397,3588610,1380787,17395,11226,6169,56.2662043203476,41.604082289467,14.6621220308806," 132,061,653 ",25.8487359687978
