S.No.,State,Total_Population,Male_Population,Female_Population,Hindu_Population ,Hindu_Males,Hindu_Females,Muslim_Population ,Muslim_Males,Muslim_Females,Christian_Population,Christian_Males,Christian_Females,Sikh_Population,Sikh_Males,Sikh_Females,Buddhist_Population ,Buddhist_Males,Buddhist_Females,Jain_Population ,Jain_Males,Jain_Females,Main_Workers_Population,Main_Workers__Males,Main_Workers__Females,Marginal_Workers_Population,Marginal_Workers_Males,Marginal_Workers_Females ,NonWorkers_Population,NonWorkers_Males,NonWorkers__Females,Illiterates_Males,Illiterates_Females,Literates (Total)_Males,Literates (Total)_Females,Literate Without Education Level_Males,Literate Without Education Level_Females,Below_Primary_Males,Below_Primary_Females,Primary_Males,Primary_Females,Middle_Males,Middle_Females,Matric/Secondary_Males,Matric/Secondary_Females,Higher Secondary/Intermediate/Pre-University/Senior secondary_Males,Higher Secondary/Intermediate/Pre-University/Senior secondary_Females,Non-technical diploma or certificate not equal to degree_Males,Non-technical diploma or certificate not equal to degree_Females,Technical diploma or certificate not equal to degree_Males,Technical diploma or certificate not equal to degree_Females,Graduate & above_Males,Graduate & above_Females
01,State - JAMMU & KASHMIR,12541302,6640662,5900640,3566674,1987021,1579653,8567485,4428774,4138711,35631,21523,14108,234848,132897,101951,112584,56442,56142,2490,1310,1180,2644149,2305788,338361,1678564,889302,789262,8218589,3445572,4773017,223229,205455,1800471,1467478,12998,7233,476589,405577,422246,357303,322282,264968,248256,194642,176494,136195,1629,555,11411,7009,121202,88895
02,State - HIMACHAL PRADESH,6864602,3481873,3382729,6532765,3306995,3225770,149881,80763,69118,12646,6844,5802,79896,41494,38402,78659,40233,38426,1805,945,860,2062501,1438989,623512,1496921,604384,892537,3305180,1438500,1866680,82420,76558,883977,778821,6443,5687,221780,194486,222842,193520,152858,135157,136266,117678,98028,90877,456,283,10333,4696,33559,35183
03,State - PUNJAB,27743338,14639465,13103873,10678138,5683894,4994244,535489,287534,247955,348230,182041,166189,16004754,8395797,7608957,33237,17176,16061,45040,23560,21480,8450936,7264631,1186305,1446426,809526,636900,17845976,6565308,11280668,454154,380972,3302424,2663614,26604,19434,1029865,782380,824514,628225,515661,405986,433035,353162,291517,286756,2973,1349,44354,25638,126545,154988
04,State - CHANDIGARH,1055450,580663,474787,852574,472769,379805,51447,29889,21558,8720,4463,4257,138329,71300,67029,1160,593,567,1960,997,963,385929,317190,68739,18207,10969,7238,651314,252504,398810,19525,17704,152160,121593,370,264,41359,33295,30526,23471,20097,15297,18276,13716,22093,18740,129,93,2568,885,16502,15685
05,State - UTTARAKHAND,10086292,5137773,4948519,8368636,4234384,4134252,1406825,740057,666768,37781,19439,18342,236340,123579,112761,14926,8910,6016,9183,4747,4436,2870624,2070760,799864,1001651,481161,520490,6214017,2585852,3628165,149523,146699,1492474,1281256,9726,9464,440981,380649,340668,308125,254645,213251,201637,163088,127478,114180,817,479,10164,3320,103171,85971
06,State - HARYANA,25351462,13494734,11856728,22171128,11821082,10350046,1781342,940027,841315,50353,26165,24188,1243752,653468,590284,7514,4099,3415,52613,27358,25255,7015283,5860600,1154683,1901225,946036,955189,16434954,6688098,9746856,390445,331629,3678784,2762076,19745,13300,1114807,868794,825327,640239,533233,411715,517200,366254,390142,275593,5596,2233,55753,19685,212169,160774
07,State - NCT OF DELHI,16787941,8987326,7800615,13712100,7353594,6358506,2158684,1163934,994750,146093,71438,74655,570581,294403,276178,18449,9606,8843,166231,85605,80626,5307329,4562710,744619,279720,199316,80404,11200892,4225300,6975592,220143,193670,2369830,1933422,20911,15295,658172,541731,518707,428574,365462,303516,307347,247840,263754,213617,1759,1554,14278,9345,216965,170078
08,State - RAJASTHAN,68548437,35550997,32997440,60657103,31485832,29171271,6215377,3193530,3021847,96430,48887,47543,872930,459406,413524,12185,6382,5803,622023,317614,304409,21057968,15243537,5814431,8828287,3053539,5774748,38662182,17253921,21408261,948491,857588,9443985,6823379,120737,86668,3110663,2617355,2405927,1845191,1495448,996926,1075918,634358,738345,396009,1616,989,54463,15316,403958,202391
09,State - UTTAR PRADESH,199812341,104480510,95331831,159312654,83555724,75756930,38483967,19867314,18616653,356448,182838,173610,643500,341451,302049,206285,107424,98861,213267,110994,102273,44635492,37420299,7215193,21179223,12426463,8752760,133997626,54633748,79363878,2897820,2855130,28524619,23120070,308289,215502,9741289,8268592,6849110,5946260,4374456,3494801,3200379,2494094,2364063,1721464,19835,10528,66063,10872,1494499,875888
10,State - BIHAR,104099452,54278157,49821295,86078686,44994505,41084181,17557809,9044086,8513723,129247,66115,63132,23779,12457,11322,25453,13490,11963,18914,9743,9171,21359611,17270690,4088921,13365376,7951499,5413877,69374465,29055968,40318497,1650162,1618800,14107741,10988526,218428,231382,5611878,4998054,3377686,2782290,1820492,1357874,1279218,820143,1108211,525688,14518,6607,14063,2131,594635,205715
