State_Code,Rural/Urban,State,Religious_Community,Age,Total_Population,Literate_Population
5,Rural,UTTARAKHAND,Hindu,7,127131,101930
5,Rural,UTTARAKHAND,Hindu,8,129475,119920
5,Rural,UTTARAKHAND,Hindu,9,123335,116565
5,Rural,UTTARAKHAND,Hindu,10,148835,139589
5,Rural,UTTARAKHAND,Hindu,11,133500,128843
5,Rural,UTTARAKHAND,Hindu,12,144575,141453
5,Rural,UTTARAKHAND,Hindu,13,132796,130160
5,Rural,UTTARAKHAND,Hindu,14,139196,136189
5,Rural,UTTARAKHAND,Hindu,15,141774,137761
5,Rural,UTTARAKHAND,Hindu,16,137774,133857
5,Rural,UTTARAKHAND,Hindu,17,123794,120103
5,Rural,UTTARAKHAND,Hindu,18,145659,139503
5,Rural,UTTARAKHAND,Hindu,19,115858,110896
5,Rural,UTTARAKHAND,Hindu,20-24,548748,509303
5,Rural,UTTARAKHAND,Hindu,25-29,457267,398528
5,Rural,UTTARAKHAND,Hindu,30-34,397768,321603
5,Rural,UTTARAKHAND,Hindu,35-59,1446770,940630
5,Rural,UTTARAKHAND,Hindu,60+,609606,251593
5,Rural,UTTARAKHAND,Hindu,Age not stated,9155,6588
5,Rural,UTTARAKHAND,Muslim,7,21123,13895
5,Rural,UTTARAKHAND,Muslim,8,24672,19461
5,Rural,UTTARAKHAND,Muslim,9,19100,15871
5,Rural,UTTARAKHAND,Muslim,10,27760,23107
5,Rural,UTTARAKHAND,Muslim,11,19083,16532
5,Rural,UTTARAKHAND,Muslim,12,24402,21359
5,Rural,UTTARAKHAND,Muslim,13,19728,17288
5,Rural,UTTARAKHAND,Muslim,14,21900,18867
5,Rural,UTTARAKHAND,Muslim,15,21776,18122
5,Rural,UTTARAKHAND,Muslim,16,22198,18137
5,Rural,UTTARAKHAND,Muslim,17,17306,14038
5,Rural,UTTARAKHAND,Muslim,18,26213,20271
5,Rural,UTTARAKHAND,Muslim,19,16022,12348
5,Rural,UTTARAKHAND,Muslim,20-24,78254,53608
5,Rural,UTTARAKHAND,Muslim,25-29,55047,30015
5,Rural,UTTARAKHAND,Muslim,30-34,46044,20192
5,Rural,UTTARAKHAND,Muslim,35-59,138891,43878
5,Rural,UTTARAKHAND,Muslim,60+,45457,8397
5,Rural,UTTARAKHAND,Muslim,Age not stated,810,476
5,Rural,UTTARAKHAND,Christian,7,328,252
5,Rural,UTTARAKHAND,Christian,8,325,289
5,Rural,UTTARAKHAND,Christian,9,305,279
5,Rural,UTTARAKHAND,Christian,10,377,346
5,Rural,UTTARAKHAND,Christian,11,333,307
5,Rural,UTTARAKHAND,Christian,12,352,327
5,Rural,UTTARAKHAND,Christian,13,306,292
5,Rural,UTTARAKHAND,Christian,14,348,330
5,Rural,UTTARAKHAND,Christian,15,367,342
5,Rural,UTTARAKHAND,Christian,16,370,348
5,Rural,UTTARAKHAND,Christian,17,336,313
5,Rural,UTTARAKHAND,Christian,18,405,370
5,Rural,UTTARAKHAND,Christian,19,311,292
5,Rural,UTTARAKHAND,Christian,20-24,1536,1398
5,Rural,UTTARAKHAND,Christian,25-29,1403,1240
5,Rural,UTTARAKHAND,Christian,30-34,1312,1125
5,Rural,UTTARAKHAND,Christian,35-59,4398,3453
5,Rural,UTTARAKHAND,Christian,60+,1536,983
5,Rural,UTTARAKHAND,Christian,Age not stated,36,28
5,Rural,UTTARAKHAND,Sikh,7,3494,2769
5,Rural,UTTARAKHAND,Sikh,8,3403,3127
5,Rural,UTTARAKHAND,Sikh,9,3377,3121
5,Rural,UTTARAKHAND,Sikh,10,4379,3952
5,Rural,UTTARAKHAND,Sikh,11,3634,3367
5,Rural,UTTARAKHAND,Sikh,12,4064,3928
5,Rural,UTTARAKHAND,Sikh,13,3866,3749
5,Rural,UTTARAKHAND,Sikh,14,4091,3958
5,Rural,UTTARAKHAND,Sikh,15,4254,4072
5,Rural,UTTARAKHAND,Sikh,16,4372,4155
5,Rural,UTTARAKHAND,Sikh,17,3733,3538
5,Rural,UTTARAKHAND,Sikh,18,4898,4533
5,Rural,UTTARAKHAND,Sikh,19,3693,3419
5,Rural,UTTARAKHAND,Sikh,20-24,17815,15790
5,Rural,UTTARAKHAND,Sikh,25-29,14547,11874
5,Rural,UTTARAKHAND,Sikh,30-34,12854,9582
5,Rural,UTTARAKHAND,Sikh,35-59,43764,27781
5,Rural,UTTARAKHAND,Sikh,60+,17598,6520
5,Rural,UTTARAKHAND,Sikh,Age not stated,232,150
5,Rural,UTTARAKHAND,Buddhist,7,112,82
5,Rural,UTTARAKHAND,Buddhist,8,102,95
5,Rural,UTTARAKHAND,Buddhist,9,101,93
5,Rural,UTTARAKHAND,Buddhist,10,143,134
5,Rural,UTTARAKHAND,Buddhist,11,147,143
5,Rural,UTTARAKHAND,Buddhist,12,143,138
5,Rural,UTTARAKHAND,Buddhist,13,144,138
5,Rural,UTTARAKHAND,Buddhist,14,170,169
5,Rural,UTTARAKHAND,Buddhist,15,167,160
5,Rural,UTTARAKHAND,Buddhist,16,167,164
5,Rural,UTTARAKHAND,Buddhist,17,151,149
5,Rural,UTTARAKHAND,Buddhist,18,178,174
5,Rural,UTTARAKHAND,Buddhist,19,151,150
5,Rural,UTTARAKHAND,Buddhist,20-24,806,772
5,Rural,UTTARAKHAND,Buddhist,25-29,818,766
5,Rural,UTTARAKHAND,Buddhist,30-34,661,606
5,Rural,UTTARAKHAND,Buddhist,35-59,1855,1392
5,Rural,UTTARAKHAND,Buddhist,60+,1159,317
5,Rural,UTTARAKHAND,Buddhist,Age not stated,14,13
5,Rural,UTTARAKHAND,Jain,7,25,17
5,Rural,UTTARAKHAND,Jain,8,24,22
5,Rural,UTTARAKHAND,Jain,9,14,13
5,Rural,UTTARAKHAND,Jain,10,26,22
5,Rural,UTTARAKHAND,Jain,11,19,16
5,Rural,UTTARAKHAND,Jain,12,21,20
5,Rural,UTTARAKHAND,Jain,13,26,26
5,Rural,UTTARAKHAND,Jain,14,26,21
5,Rural,UTTARAKHAND,Jain,15,14,14
5,Rural,UTTARAKHAND,Jain,16,20,19
5,Rural,UTTARAKHAND,Jain,17,18,16
5,Rural,UTTARAKHAND,Jain,18,25,23
5,Rural,UTTARAKHAND,Jain,19,22,21
5,Rural,UTTARAKHAND,Jain,20-24,118,114
5,Rural,UTTARAKHAND,Jain,25-29,79,75
5,Rural,UTTARAKHAND,Jain,30-34,59,54
5,Rural,UTTARAKHAND,Jain,35-59,274,249
5,Rural,UTTARAKHAND,Jain,60+,91,68
5,Rural,UTTARAKHAND,Jain,Age not stated,0,0
5,Rural,UTTARAKHAND,Other religions and persuasions,7,16,9
5,Rural,UTTARAKHAND,Other religions and persuasions,8,25,20
5,Rural,UTTARAKHAND,Other religions and persuasions,9,19,17
5,Rural,UTTARAKHAND,Other religions and persuasions,10,21,19
5,Rural,UTTARAKHAND,Other religions and persuasions,11,20,18
5,Rural,UTTARAKHAND,Other religions and persuasions,12,13,12
5,Rural,UTTARAKHAND,Other religions and persuasions,13,16,14
5,Rural,UTTARAKHAND,Other religions and persuasions,14,13,13
5,Rural,UTTARAKHAND,Other religions and persuasions,15,15,12
5,Rural,UTTARAKHAND,Other religions and persuasions,16,11,11
5,Rural,UTTARAKHAND,Other religions and persuasions,17,6,6
5,Rural,UTTARAKHAND,Other religions and persuasions,18,10,9
5,Rural,UTTARAKHAND,Other religions and persuasions,19,11,7
5,Rural,UTTARAKHAND,Other religions and persuasions,20-24,55,41
5,Rural,UTTARAKHAND,Other religions and persuasions,25-29,57,35
5,Rural,UTTARAKHAND,Other religions and persuasions,30-34,51,26
5,Rural,UTTARAKHAND,Other religions and persuasions,35-59,169,84
5,Rural,UTTARAKHAND,Other religions and persuasions,60+,30,12
5,Rural,UTTARAKHAND,Other religions and persuasions,Age not stated,3,1
5,Urban,UTTARAKHAND,Hindu,7,41651,34458
5,Urban,UTTARAKHAND,Hindu,8,41152,38008
5,Urban,UTTARAKHAND,Hindu,9,39652,37230
5,Urban,UTTARAKHAND,Hindu,10,48657,45031
5,Urban,UTTARAKHAND,Hindu,11,42768,40792
5,Urban,UTTARAKHAND,Hindu,12,44355,42774
5,Urban,UTTARAKHAND,Hindu,13,42098,40816
5,Urban,UTTARAKHAND,Hindu,14,45210,43786
5,Urban,UTTARAKHAND,Hindu,15,47091,45198
5,Urban,UTTARAKHAND,Hindu,16,46306,44558
5,Urban,UTTARAKHAND,Hindu,17,45038,43375
5,Urban,UTTARAKHAND,Hindu,18,53834,51121
5,Urban,UTTARAKHAND,Hindu,19,46673,44448
5,Urban,UTTARAKHAND,Hindu,20-24,242631,228364
5,Urban,UTTARAKHAND,Hindu,25-29,219826,201568
5,Urban,UTTARAKHAND,Hindu,30-34,190572,170923
5,Urban,UTTARAKHAND,Hindu,35-59,649670,547194
5,Urban,UTTARAKHAND,Hindu,60+,184188,131808
5,Urban,UTTARAKHAND,Hindu,Age not stated,4744,3886
5,Urban,UTTARAKHAND,Muslim,7,14768,10177
5,Urban,UTTARAKHAND,Muslim,8,16117,13078
5,Urban,UTTARAKHAND,Muslim,9,13143,11086
5,Urban,UTTARAKHAND,Muslim,10,18162,15217
