State_Code,Rural/Urban,State,Religious_Community,Age,Total_Population,Literate_Population
10,Rural,BIHAR,Hindu,7,2027071,1299635
10,Rural,BIHAR,Hindu,8,2578443,1981461
10,Rural,BIHAR,Hindu,9,1829215,1485529
10,Rural,BIHAR,Hindu,10,2862581,2335947
10,Rural,BIHAR,Hindu,11,1765478,1494738
10,Rural,BIHAR,Hindu,12,2349351,1994104
10,Rural,BIHAR,Hindu,13,1604024,1380202
10,Rural,BIHAR,Hindu,14,1672164,1413300
10,Rural,BIHAR,Hindu,15,1685752,1364352
10,Rural,BIHAR,Hindu,16,1445643,1161089
10,Rural,BIHAR,Hindu,17,982728,787043
10,Rural,BIHAR,Hindu,18,1622745,1205326
10,Rural,BIHAR,Hindu,19,989828,713791
10,Rural,BIHAR,Hindu,20-24,5816476,3792133
10,Rural,BIHAR,Hindu,25-29,5656906,3308851
10,Rural,BIHAR,Hindu,30-34,5261899,2873285
10,Rural,BIHAR,Hindu,35-59,16291760,7367928
10,Rural,BIHAR,Hindu,60+,5899219,1985310
10,Rural,BIHAR,Hindu,Age not stated,286022,153769
10,Rural,BIHAR,Muslim,7,434627,241724
10,Rural,BIHAR,Muslim,8,561495,389452
10,Rural,BIHAR,Muslim,9,383811,284610
10,Rural,BIHAR,Muslim,10,609325,457897
10,Rural,BIHAR,Muslim,11,364474,283377
10,Rural,BIHAR,Muslim,12,502926,392886
10,Rural,BIHAR,Muslim,13,331363,260296
10,Rural,BIHAR,Muslim,14,361112,276139
10,Rural,BIHAR,Muslim,15,360662,261271
10,Rural,BIHAR,Muslim,16,332752,237155
10,Rural,BIHAR,Muslim,17,217507,153340
10,Rural,BIHAR,Muslim,18,363661,237544
10,Rural,BIHAR,Muslim,19,209104,132616
10,Rural,BIHAR,Muslim,20-24,1168286,667021
10,Rural,BIHAR,Muslim,25-29,1042449,520768
10,Rural,BIHAR,Muslim,30-34,921109,416999
10,Rural,BIHAR,Muslim,35-59,2887941,1046440
10,Rural,BIHAR,Muslim,60+,947033,257316
10,Rural,BIHAR,Muslim,Age not stated,50361,23985
10,Rural,BIHAR,Christian,7,2535,1518
10,Rural,BIHAR,Christian,8,3176,2325
10,Rural,BIHAR,Christian,9,2250,1733
10,Rural,BIHAR,Christian,10,3462,2730
10,Rural,BIHAR,Christian,11,2248,1830
10,Rural,BIHAR,Christian,12,2923,2411
10,Rural,BIHAR,Christian,13,2078,1730
10,Rural,BIHAR,Christian,14,2150,1762
10,Rural,BIHAR,Christian,15,2121,1656
10,Rural,BIHAR,Christian,16,1968,1534
10,Rural,BIHAR,Christian,17,1388,1087
10,Rural,BIHAR,Christian,18,2194,1576
10,Rural,BIHAR,Christian,19,1371,949
10,Rural,BIHAR,Christian,20-24,7611,4994
10,Rural,BIHAR,Christian,25-29,7125,4219
10,Rural,BIHAR,Christian,30-34,6549,3600
10,Rural,BIHAR,Christian,35-59,21752,10484
10,Rural,BIHAR,Christian,60+,7016,2500
10,Rural,BIHAR,Christian,Age not stated,483,280
10,Rural,BIHAR,Sikh,7,278,190
10,Rural,BIHAR,Sikh,8,349,277
10,Rural,BIHAR,Sikh,9,281,222
10,Rural,BIHAR,Sikh,10,405,322
10,Rural,BIHAR,Sikh,11,251,208
10,Rural,BIHAR,Sikh,12,350,305
10,Rural,BIHAR,Sikh,13,234,196
10,Rural,BIHAR,Sikh,14,271,241
10,Rural,BIHAR,Sikh,15,273,234
10,Rural,BIHAR,Sikh,16,227,187
10,Rural,BIHAR,Sikh,17,171,144
10,Rural,BIHAR,Sikh,18,244,187
10,Rural,BIHAR,Sikh,19,168,129
10,Rural,BIHAR,Sikh,20-24,948,688
10,Rural,BIHAR,Sikh,25-29,883,616
10,Rural,BIHAR,Sikh,30-34,828,550
10,Rural,BIHAR,Sikh,35-59,2700,1589
10,Rural,BIHAR,Sikh,60+,1005,437
10,Rural,BIHAR,Sikh,Age not stated,123,71
10,Rural,BIHAR,Buddhist,7,635,413
10,Rural,BIHAR,Buddhist,8,686,558
10,Rural,BIHAR,Buddhist,9,560,502
10,Rural,BIHAR,Buddhist,10,857,752
10,Rural,BIHAR,Buddhist,11,576,510
10,Rural,BIHAR,Buddhist,12,745,688
10,Rural,BIHAR,Buddhist,13,535,499
10,Rural,BIHAR,Buddhist,14,591,544
10,Rural,BIHAR,Buddhist,15,527,484
10,Rural,BIHAR,Buddhist,16,464,424
10,Rural,BIHAR,Buddhist,17,338,305
10,Rural,BIHAR,Buddhist,18,503,434
10,Rural,BIHAR,Buddhist,19,317,287
10,Rural,BIHAR,Buddhist,20-24,1731,1456
10,Rural,BIHAR,Buddhist,25-29,1693,1322
10,Rural,BIHAR,Buddhist,30-34,1527,1107
10,Rural,BIHAR,Buddhist,35-59,5071,3130
10,Rural,BIHAR,Buddhist,60+,1906,815
10,Rural,BIHAR,Buddhist,Age not stated,121,68
10,Rural,BIHAR,Jain,7,259,164
10,Rural,BIHAR,Jain,8,282,225
10,Rural,BIHAR,Jain,9,222,172
10,Rural,BIHAR,Jain,10,282,225
10,Rural,BIHAR,Jain,11,165,126
10,Rural,BIHAR,Jain,12,237,190
10,Rural,BIHAR,Jain,13,159,139
10,Rural,BIHAR,Jain,14,171,149
10,Rural,BIHAR,Jain,15,173,133
10,Rural,BIHAR,Jain,16,139,112
10,Rural,BIHAR,Jain,17,106,89
10,Rural,BIHAR,Jain,18,167,126
10,Rural,BIHAR,Jain,19,109,86
10,Rural,BIHAR,Jain,20-24,603,446
10,Rural,BIHAR,Jain,25-29,487,330
10,Rural,BIHAR,Jain,30-34,420,278
10,Rural,BIHAR,Jain,35-59,1339,838
