State_Code,Rural/Urban,State,Religious_Community,Age,Total_Population,Literate_Population
1,Rural,JAMMU & KASHMIR,Hindu,7,50775,38381
1,Rural,JAMMU & KASHMIR,Hindu,8,49764,44201
1,Rural,JAMMU & KASHMIR,Hindu,9,46438,43072
1,Rural,JAMMU & KASHMIR,Hindu,10,52188,48270
1,Rural,JAMMU & KASHMIR,Hindu,11,51420,48516
1,Rural,JAMMU & KASHMIR,Hindu,12,53908,51085
1,Rural,JAMMU & KASHMIR,Hindu,13,51942,49168
1,Rural,JAMMU & KASHMIR,Hindu,14,51181,48374
1,Rural,JAMMU & KASHMIR,Hindu,15,51466,47939
1,Rural,JAMMU & KASHMIR,Hindu,16,49328,45749
1,Rural,JAMMU & KASHMIR,Hindu,17,46276,42995
1,Rural,JAMMU & KASHMIR,Hindu,18,52576,47569
1,Rural,JAMMU & KASHMIR,Hindu,19,42934,39053
1,Rural,JAMMU & KASHMIR,Hindu,20-24,242603,212023
1,Rural,JAMMU & KASHMIR,Hindu,25-29,245838,206080
1,Rural,JAMMU & KASHMIR,Hindu,30-34,208102,164281
1,Rural,JAMMU & KASHMIR,Hindu,35-59,626125,385519
1,Rural,JAMMU & KASHMIR,Hindu,60+,203587,56536
1,Rural,JAMMU & KASHMIR,Hindu,Age not stated,2443,1795
1,Rural,JAMMU & KASHMIR,Muslim,7,157050,94514
1,Rural,JAMMU & KASHMIR,Muslim,8,170067,125856
1,Rural,JAMMU & KASHMIR,Muslim,9,145271,116803
1,Rural,JAMMU & KASHMIR,Muslim,10,188340,149383
1,Rural,JAMMU & KASHMIR,Muslim,11,164306,138920
1,Rural,JAMMU & KASHMIR,Muslim,12,167837,143936
1,Rural,JAMMU & KASHMIR,Muslim,13,145770,126956
1,Rural,JAMMU & KASHMIR,Muslim,14,148733,129303
1,Rural,JAMMU & KASHMIR,Muslim,15,151363,127582
1,Rural,JAMMU & KASHMIR,Muslim,16,145752,121902
1,Rural,JAMMU & KASHMIR,Muslim,17,113946,95056
1,Rural,JAMMU & KASHMIR,Muslim,18,148740,115923
1,Rural,JAMMU & KASHMIR,Muslim,19,102578,81223
1,Rural,JAMMU & KASHMIR,Muslim,20-24,562639,397776
1,Rural,JAMMU & KASHMIR,Muslim,25-29,469076,275356
1,Rural,JAMMU & KASHMIR,Muslim,30-34,408154,207254
1,Rural,JAMMU & KASHMIR,Muslim,35-59,1308046,447966
1,Rural,JAMMU & KASHMIR,Muslim,60+,425022,67603
1,Rural,JAMMU & KASHMIR,Muslim,Age not stated,6431,3590
1,Rural,JAMMU & KASHMIR,Christian,7,263,163
1,Rural,JAMMU & KASHMIR,Christian,8,274,215
1,Rural,JAMMU & KASHMIR,Christian,9,249,214
1,Rural,JAMMU & KASHMIR,Christian,10,321,255
1,Rural,JAMMU & KASHMIR,Christian,11,295,261
1,Rural,JAMMU & KASHMIR,Christian,12,300,256
1,Rural,JAMMU & KASHMIR,Christian,13,273,249
1,Rural,JAMMU & KASHMIR,Christian,14,262,235
1,Rural,JAMMU & KASHMIR,Christian,15,294,262
1,Rural,JAMMU & KASHMIR,Christian,16,297,263
1,Rural,JAMMU & KASHMIR,Christian,17,250,209
1,Rural,JAMMU & KASHMIR,Christian,18,270,224
1,Rural,JAMMU & KASHMIR,Christian,19,228,192
1,Rural,JAMMU & KASHMIR,Christian,20-24,1701,1411
1,Rural,JAMMU & KASHMIR,Christian,25-29,2093,1768
1,Rural,JAMMU & KASHMIR,Christian,30-34,1567,1271
1,Rural,JAMMU & KASHMIR,Christian,35-59,3496,2062
1,Rural,JAMMU & KASHMIR,Christian,60+,929,213
1,Rural,JAMMU & KASHMIR,Christian,Age not stated,21,17
1,Rural,JAMMU & KASHMIR,Sikh,7,1927,1616
1,Rural,JAMMU & KASHMIR,Sikh,8,1904,1778
1,Rural,JAMMU & KASHMIR,Sikh,9,1738,1660
1,Rural,JAMMU & KASHMIR,Sikh,10,1980,1866
1,Rural,JAMMU & KASHMIR,Sikh,11,1935,1876
1,Rural,JAMMU & KASHMIR,Sikh,12,1965,1921
1,Rural,JAMMU & KASHMIR,Sikh,13,1954,1916
1,Rural,JAMMU & KASHMIR,Sikh,14,1999,1966
1,Rural,JAMMU & KASHMIR,Sikh,15,2043,1991
1,Rural,JAMMU & KASHMIR,Sikh,16,2107,2058
1,Rural,JAMMU & KASHMIR,Sikh,17,1983,1959
1,Rural,JAMMU & KASHMIR,Sikh,18,2282,2247
