State_Code,Rural/Urban,State,Religious_Community,Age,Total_Population,Literate_Population
28,Rural,ANDHRA PRADESH,Hindu,7,938341,663691
28,Rural,ANDHRA PRADESH,Hindu,8,960137,833820
28,Rural,ANDHRA PRADESH,Hindu,9,929234,854961
28,Rural,ANDHRA PRADESH,Hindu,10,1115935,1033238
28,Rural,ANDHRA PRADESH,Hindu,11,973531,922229
28,Rural,ANDHRA PRADESH,Hindu,12,1073220,1008289
28,Rural,ANDHRA PRADESH,Hindu,13,1010353,955356
28,Rural,ANDHRA PRADESH,Hindu,14,1023914,958940
28,Rural,ANDHRA PRADESH,Hindu,15,1031516,944730
28,Rural,ANDHRA PRADESH,Hindu,16,961843,879739
28,Rural,ANDHRA PRADESH,Hindu,17,880451,806876
28,Rural,ANDHRA PRADESH,Hindu,18,1183440,1030394
28,Rural,ANDHRA PRADESH,Hindu,19,917524,799258
28,Rural,ANDHRA PRADESH,Hindu,20-24,4906336,3895234
28,Rural,ANDHRA PRADESH,Hindu,25-29,4672859,3131205
28,Rural,ANDHRA PRADESH,Hindu,30-34,3971299,2302160
28,Rural,ANDHRA PRADESH,Hindu,35-59,14382288,5701400
28,Rural,ANDHRA PRADESH,Hindu,60+,5783298,1366020
28,Rural,ANDHRA PRADESH,Hindu,Age not stated,368412,219606
28,Rural,ANDHRA PRADESH,Muslim,7,56470,39969
28,Rural,ANDHRA PRADESH,Muslim,8,58263,50765
28,Rural,ANDHRA PRADESH,Muslim,9,54275,49918
28,Rural,ANDHRA PRADESH,Muslim,10,66544,61782
28,Rural,ANDHRA PRADESH,Muslim,11,54991,52208
28,Rural,ANDHRA PRADESH,Muslim,12,61773,58321
28,Rural,ANDHRA PRADESH,Muslim,13,55563,52660
28,Rural,ANDHRA PRADESH,Muslim,14,56870,53233
28,Rural,ANDHRA PRADESH,Muslim,15,59203,54366
28,Rural,ANDHRA PRADESH,Muslim,16,56621,51856
28,Rural,ANDHRA PRADESH,Muslim,17,50017,45858
28,Rural,ANDHRA PRADESH,Muslim,18,70132,62001
28,Rural,ANDHRA PRADESH,Muslim,19,53432,46850
28,Rural,ANDHRA PRADESH,Muslim,20-24,287263,235292
28,Rural,ANDHRA PRADESH,Muslim,25-29,258796,185256
28,Rural,ANDHRA PRADESH,Muslim,30-34,209697,130646
28,Rural,ANDHRA PRADESH,Muslim,35-59,701178,306794
28,Rural,ANDHRA PRADESH,Muslim,60+,251353,64238
28,Rural,ANDHRA PRADESH,Muslim,Age not stated,21172,13023
28,Rural,ANDHRA PRADESH,Christian,7,8525,6181
28,Rural,ANDHRA PRADESH,Christian,8,8715,7547
28,Rural,ANDHRA PRADESH,Christian,9,8549,7855
28,Rural,ANDHRA PRADESH,Christian,10,10325,9544
28,Rural,ANDHRA PRADESH,Christian,11,8832,8373
28,Rural,ANDHRA PRADESH,Christian,12,9563,9009
28,Rural,ANDHRA PRADESH,Christian,13,9068,8628
28,Rural,ANDHRA PRADESH,Christian,14,8957,8451
28,Rural,ANDHRA PRADESH,Christian,15,9308,8607
28,Rural,ANDHRA PRADESH,Christian,16,8835,8168
28,Rural,ANDHRA PRADESH,Christian,17,8189,7564
28,Rural,ANDHRA PRADESH,Christian,18,11166,9906
28,Rural,ANDHRA PRADESH,Christian,19,8990,8005
28,Rural,ANDHRA PRADESH,Christian,20-24,48376,40196
28,Rural,ANDHRA PRADESH,Christian,25-29,45802,33937
28,Rural,ANDHRA PRADESH,Christian,30-34,38761,26670
28,Rural,ANDHRA PRADESH,Christian,35-59,141353,76200
28,Rural,ANDHRA PRADESH,Christian,60+,53408,20692
28,Rural,ANDHRA PRADESH,Christian,Age not stated,2869,1911
