State_Code,Rural/Urban,State,Religious_Community,Age,Total_Population,Literate_Population
24,Rural,GUJARAT,Hindu,7,686132,534002
24,Rural,GUJARAT,Hindu,8,689131,616413
24,Rural,GUJARAT,Hindu,9,658292,612230
24,Rural,GUJARAT,Hindu,10,756737,699605
24,Rural,GUJARAT,Hindu,11,711254,672208
24,Rural,GUJARAT,Hindu,12,720364,675374
24,Rural,GUJARAT,Hindu,13,677337,637129
24,Rural,GUJARAT,Hindu,14,665562,621580
24,Rural,GUJARAT,Hindu,15,691452,632855
24,Rural,GUJARAT,Hindu,16,638713,583516
24,Rural,GUJARAT,Hindu,17,593568,541595
24,Rural,GUJARAT,Hindu,18,692984,609408
24,Rural,GUJARAT,Hindu,19,558773,492633
24,Rural,GUJARAT,Hindu,20-24,2911574,2417522
24,Rural,GUJARAT,Hindu,25-29,2578807,1997618
24,Rural,GUJARAT,Hindu,30-34,2398473,1712387
24,Rural,GUJARAT,Hindu,35-59,8459814,4793008
24,Rural,GUJARAT,Hindu,60+,2710849,989955
24,Rural,GUJARAT,Hindu,Age not stated,106504,70055
24,Rural,GUJARAT,Muslim,7,46746,36405
24,Rural,GUJARAT,Muslim,8,45900,40581
24,Rural,GUJARAT,Muslim,9,43997,40749
24,Rural,GUJARAT,Muslim,10,50376,46350
24,Rural,GUJARAT,Muslim,11,46175,43591
24,Rural,GUJARAT,Muslim,12,47413,44248
24,Rural,GUJARAT,Muslim,13,44647,42044
24,Rural,GUJARAT,Muslim,14,43469,40608
24,Rural,GUJARAT,Muslim,15,44598,40813
24,Rural,GUJARAT,Muslim,16,41909,38301
24,Rural,GUJARAT,Muslim,17,39256,35939
24,Rural,GUJARAT,Muslim,18,45912,40704
24,Rural,GUJARAT,Muslim,19,37462,33568
24,Rural,GUJARAT,Muslim,20-24,195226,164983
24,Rural,GUJARAT,Muslim,25-29,168421,135121
24,Rural,GUJARAT,Muslim,30-34,150793,115147
24,Rural,GUJARAT,Muslim,35-59,493940,327789
24,Rural,GUJARAT,Muslim,60+,147713,68618
24,Rural,GUJARAT,Muslim,Age not stated,6437,4830
24,Rural,GUJARAT,Christian,7,3381,2721
24,Rural,GUJARAT,Christian,8,3440,3136
24,Rural,GUJARAT,Christian,9,3344,3136
24,Rural,GUJARAT,Christian,10,3702,3434
24,Rural,GUJARAT,Christian,11,3536,3371
24,Rural,GUJARAT,Christian,12,3378,3196
24,Rural,GUJARAT,Christian,13,3137,2980
24,Rural,GUJARAT,Christian,14,2953,2770
24,Rural,GUJARAT,Christian,15,3117,2896
24,Rural,GUJARAT,Christian,16,2960,2761
