SR NO.,State,Region,Total.pop,Males.pop,Females.pop,Total.hindus,hindu.Males,hindu.Females,total.muslims,muslim.Males,muslim.Female,total.christ,christ.Males,christ.Females,total.sikhs,sikhs.Males,sikhs.Females,total.buddhists,buddhist.Males,buddhist.Females,total.jains,jain.Males,jain.Females,Total.main.worker,male.main.worker,female.male.worker,Total.marginal,male.marginal,female.marginal,Non.workers,Males.nonworker,Females.nonworker,Illiterate.Male,Illiterat.female,Male.Literate.without.educational.level.non.formal.,Female.Literate.without.educational.level.non.formal.,Male.Literate.without.educational.level.formal.,Female.Literate.without.educational.level.formal.,male.primary,female.primary,male.middle,female.middle,male.Matriculation..Secondary,female.Matriculation..Secondary,Higher.Secondary..Intermediate................................Pre.University.......................Senior.Secondary.female,Higher.Secondary..Intermediate................................Pre.University.......................Senior.Secondary..male,m.Non.technical.diploma.or.certificate.not.equal.to.degree,f.Non.technical.diploma.or.certificate.not.equal.to.degree,male.Technical.diploma.or.certificate.not.equal.to.degree,female.Technical.diploma.or.certificate.not.equal.to.degree,male.graduate.and.above,female.graduate.and.above,X..1981 to 1991,Literacy_rates
1,State-Andhra Pradesh,Total,66508008,33724581,32783427,59281950,30046642,29235308,5923954,3025105,2898849,1216348,607170,609178,21910,12084,9826,22153,11328,10825,26564,14103,12461,28445482,18594100,9851382,1518166,116905,1401261,36544360,15013576,21530784,18191892,23828557,120990,71944,4046210,2828764,4702697,3190500,1980247,1053474,2350774,1022330,1014267,404151,24410,9530,179433,21592,1113661,352585,24.2,44.09
2,State-Arunachal Pradesh,Total,864558,465004,399554,320212,187501,132711,11922,7788,4134,89013,46234,42779,1205,808,397,111372,57064,54308,64,42,22,390976,248876,142100,8806,1117,7689,464776,215011,249765,273163,307785,1345,899,54991,32513,48855,25652,41866,18192,21032,7519,9758,3585,369,44,1906,97,11719,3268,36.83,41.59
3,State-Assam,Total,22414322,11657989,10756333,15047293,7858071,7189222,6373204,3289295,3083909,744367,381564,362803,16492,9272,7220,64008,33267,30741,20645,11512,9133,6992056,5640187,1351869,1096879,124213,972666,14325387,5893589,8431798,5830340,7067589,66100,46148,1132742,832033,1691334,1129344,1540055,1032614,840073,442969,268321,114056,3640,780,16590,1599,268794,89201,24.24,52.89
4,State-Bihar,Total,86374465,45202091,41172374,71193417,37397794,33795623,12787985,6598961,6189024,843717,420663,423054,78212,42650,35562,3518,1945,1573,23049,12053,10996,25619038,21513704,4105334,2158033,146393,2011640,58597394,23541994,35055400,26233455,33738112,522334,241490,3327348,1777863,4102695,1947777,5003429,2000085,3386566,925560,1200227,263863,19734,4450,22810,3380,1383493,269794,23.38,38.48
5,State-Goa,Total,1169793,594790,575003,756621,393395,363226,61455,32927,28528,349225,167002,182223,1087,666,421,240,140,100,487,253,234,383559,287154,96405,29177,7605,21572,757057,300031,457026,155756,234441,1670,1435,67627,59299,111771,93287,110685,88782,83913,59347,23362,16339,195,271,11203,3612,28608,18190,16.08,75.51
6,State-Gujarat,Total,41309582,21355209,19954373,36964228,19129056,17835172,3606920,1853002,1753918,181753,93700,88053,33044,18256,14788,11615,6196,5419,491331,244390,246941,14095692,11354794,2740898,2524827,84839,2439988,24689063,9915576,14773487,8330077,11848105,24458,24064,2486436,1860850,5176559,3525671,1904769,984161,1990437,1013303,591309,318285,58940,51055,90105,12157,702119,316722,21.19,61.29
7,State-Haryana,Total,16463648,8827474,7636174,14686512,7884269,6802243,763775,407905,355870,15699,8131,7568,956836,504633,452203,2058,1183,875,35296,18355,16941,4718726,4259846,458880,384744,22325,362419,11360178,4545303,6814875,3877361,5137275,8040,5430,1195499,775543,1304757,792932,899031,366258,940911,299962,286667,112691,4140,5822,52360,21403,258708,118858,27.41,55.85
8,State-Himachal Pradesh,Total,5170877,2617467,2553410,4958560,2504742,2453818,89134,48440,40694,4435,2301,2134,52050,27543,24507,64081,32549,31532,1206,640,566,1779100,1284679,494421,435279,40715,394564,2956498,1292073,1664425,969456,1436012,3260,2225,411203,317793,484876,428711,303173,182464,284210,115968,68834,32010,2054,2686,17879,6406,72522,29135,20.79,63.86
9,State-Karnataka,Total,44977201,22951917,22025284,38432027,19605625,18826402,5234023,2681164,2552859,859478,428826,430652,10101,6128,3973,73012,39503,33509,326114,168824,157290,17292117,12285340,5006777,1594681,128642,1466039,26090403,10537935,15552468,10080289,13883719,66250,60420,3225595,2379516,3343397,2316735,2474544,1629284,2007994,1063439,713930,315162,92039,60485,135096,17231,812783,299293,21.12,56.04
10,State-Kerala,Total,29098518,14288995,14809523,16668587,8168713,8499874,6788364,3314687,3473677,5621510,2792815,2828695,2224,1617,607,223,141,82,3641,1837,1804,8301087,6404458,1896629,845031,394392,450639,19952400,7490145,12462255,2746147,3665910,159890,225929,1654764,1733472,3519023,3465842,3503972,3256490,1620618,1498138,401625,440193,20610,36510,218846,135024,443500,352015,14.32,89.79
11,State-Madhya Pradesh,Total,66181170,34267293,31913877,61412898,31799336,29613562,3282800,1706443,1576357,426598,212987,213611,161111,86999,74112,216667,110244,106423,490324,255189,235135,24934521,17651164,7283357,3405964,258431,3147533,37840685,16357698,21482987,18166008,24549861,219501,99086,5235780,2879318,4562345,2157380,2424186,958681,1229528,400407,1347219,477223,9690,2650,76230,4520,996806,384751,27.24,44.2
12,State-Maharashtra,Total,78937187,40825618,38111569,64033213,33092689,30940524,7628755,4008934,3619821,885030,450688,434342,161184,88843,72341,5040785,2570789,2469996,965840,499729,466111,31006109,20918541,10087568,2904257,374371,2529886,45010769,19524506,25486263,14845485,21589128,165036,121267,4932899,3842698,6585338,4805385,6571734,4263731,4271330,2018985,1366677,576819,28818,14380,365119,91336,1684982,779988,25.73,64.87
13,State-Manipur,Total,1837149,938359,898790,1059470,540204,519266,133535,68201,65334,626669,320840,305829,1301,912,389,711,383,328,1337,706,631,708283,414812,293471,66621,9958,56663,1062245,513589,548656,377475,542982,28226,17168,88704,74560,97677,74731,186049,107687,74550,36947,34584,19968,939,512,1094,437,49061,23798,29.29,59.89
14,State-Meghalaya,Total,1774778,907687,867091,260306,144641,115665,61462,32887,28575,1146092,575628,570464,2612,1494,1118,2934,1554,1380,445,254,191,715587,449625,265962,41735,4844,36891,1017456,453218,564238,530817,565856,15187,12274,126809,115744,84069,71310,89698,63856,25450,14877,14811,10955,1404,1059,1105,192,18337,10968,32.86,49.1
15,State-Mizoram,Total,689756,358978,330778,34788,25327,9461,4538,4126,412,591342,298630,292712,299,268,31,54024,28193,25831,4,4,0,290317,178011,112306,47028,15370,31658,352411,165597,186814,107427,120399,1500,1409,83265,82554,69876,57755,61419,50829,18837,10520,6322,3035,1613,1433,199,113,8520,2731,39.7,82.27
16,State-Nagaland,Total,1209546,641282,568264,122473,78928,43545,20642,12864,7778,1057940,544892,513048,732,520,212,581,319,262,1202,690,512,511497,299437,212060,4740,1078,3662,693309,340767,352542,278053,313757,8621,5556,79150,70731,91545,70540,110549,73063,40648,21613,15703,7634,460,311,731,112,15822,4947,56.08,61.65
17,State-Orissa,Total,31659736,16064146,15595590,29971257,15212437,14758820,577775,298062,279713,666220,329940,336280,17296,9532,7764,9153,4883,4270,6302,3328,2974,10377635,8490943,1886692,1505127,149828,1355299,19776974,7423375,12353599,7644755,11099064,205471,96180,2705623,1605386,1771557,1114596,2142639,1117514,764009,310435,293980,109496,20846,4970,77582,19186,437684,118763,20.06,49.09
18,State-Punjab,Total,20281969,10778034,9503935,6989226,3742642,3246584,239401,131284,108117,225163,119943,105220,12767697,6750519,6017178,24930,13480,11450,20763,10662,10101,6098374,5832852,265522,163615,10491,153124,14019980,4934691,9085289,4858809,5491044,40506,26524,1193914,900998,1499224,1273144,1127003,670949,1373817,715039,267547,162696,9500,10394,44986,25985,362728,227162,20.81,58.51
