S.no.,Area,Total Population,Total Population age 7 and above,Total Males,Total Females,Illiterate Population,Illiterate Males,Illiterate Females,Literate Population,Literate Males,Literate Females,Literate without educational level Population ,Literate without educational level Males,Literate without educational level Females,Below primary Population,Below primary Males,Below primary Females,Primary Population,Primary Males,Primary Females,Middle Population,Middle Males,Middle Females,Matric/Secondary Population,Matric/Secondary Males,Matric/Secondary Females,Higher secondary/Intermediate Pre-University/Senior secondaryPopulation,Higher secondary/Intermediate Pre-University/Senior secondary Males,Higher secondary/Intermediate Pre-University/Senior secondary Females,Non-technical diploma or certificate not equal to degree Population ,Non-technical diploma or certificate not equal to degree Males,Non-technical diploma or certificate not equal to degree Females,Technical diploma or certificate not equal to degree Population,Technical diploma or certificate not equal to degree Males,Technical diploma or certificate not equal to degree Females,Graduate & above Population,Graduate & above Males,Graduate & above Females,Literacy Rate 2011 (%),Literacy Rate (2001) (%),Change in Literacy Rate (2001 & 2011) (%),Total Population (2001),Growth Rate (2001 & 2011) (%)
1,INDIA,1210854977,1046339724,623270258,587584719,447216165,188506636,258709529,763638812,434763622,328875190,35153231,19278416,15874815,146897597,78445099,68452498,184170833,99311072,84859761,133903266,77629578,56273688,105939743,63769834,42169909,77942593,46481321,31461272,1072289,726565,345724,7238719,5354161,1884558,68288971,42120460,26168511,72.9819192069592,64.8350852897803,8.14683391717891,1028610328,17.717559705467
2,State - JAMMU & KASHMIR,12541302,10522397,6640662,5900640,5474069,2375991,3098078,7067233,4264671,2802562,195783,124009,71774,987774,541130,446644,1285909,719512,566397,1666381,1015129,651252,1411973,919672,492301,776437,486800,289637,4781,3542,1239,50822,33854,16968,653764,401279,252485,67.1637175445861,55.5248693764779,11.6388481681082,10143700,23.6363654287883
3,State - HIMACHAL PRADESH,6864602,6086704,3481873,3382729,1824866,729283,1095583,5039736,2752590,2287146,130023,64537,65486,611475,326058,285417,1162995,576764,586231,826611,452919,373692,1127997,666498,461499,662457,368592,293865,8519,4077,4442,53413,37213,16200,446609,251164,195445,82.7990978368588,76.4768637685361,6.32223406832276,6077900,12.9436482995772
4,State - PUNJAB,27743338,24667119,14639465,13103873,9036201,4203409,4832792,18707137,10436056,8271081,566332,299936,266396,2227684,1273936,953748,4288200,2273540,2014660,3066305,1747063,1319242,4186373,2472299,1714074,2310511,1313943,996568,24287,11117,13170,234365,147801,86564,1760846,873776,887070,75.8383538831592,69.6505007511621,6.18785313199705,24358999,13.893588156065
5,State - UTTARAKHAND,10086292,8730478,5137773,4948519,3205339,1274065,1931274,6880953,3863708,3017245,145906,72896,73010,1034583,554430,480153,1550574,803056,747518,1406871,806770,600101,1019490,627977,391513,755008,444663,310345,4816,3102,1714,36172,30072,6100,910288,512068,398220,78.8153065616797,71.6167060603421,7.19860050133755,8489349,18.8111361660358
6,State - HARYANA,25351462,21970741,13494734,11856728,8752474,3700667,5051807,16598988,9794067,6804921,395890,212259,183631,2473145,1403012,1070133,3772022,2075334,1696688,2705282,1557670,1147612,3225936,2064923,1161013,1892113,1199855,692258,30614,17774,12840,195115,143883,51232,1877085,1102809,774276,75.5504240844676,67.9075673252671,7.6428567592005,21144564,19.8958843511741
7,State - RAJASTHAN,68548437,57898933,35550997,32997440,30273155,11862585,18410570,38275282,23688412,14586870,1806164,1084848,721316,8083827,4423518,3660309,10524424,6143552,4380872,7319223,4788350,2530873,4610185,3168905,1441280,2515863,1752886,762977,7522,4801,2721,164634,129531,35103,3063282,2086247,977035,66.1070593477085,60.4106281320474,5.69643121566109,56507188,21.3092341455745
8,State - UTTAR PRADESH,199812341,169021010,104480510,95331831,85414786,36245546,49169240,114397555,68234964,46162591,5381466,3219206,2162260,21424480,11763367,9661113,27798792,15505178,12293614,23122728,14276668,8846060,15137315,9748121,5389194,10807005,6820583,3986422,135958,73327,62631,189869,167522,22347,9919838,6378138,3541700,67.6824466970112,56.2662043203476,11.4162423766636,166197921,20.2255357935554
9,State - BIHAR,104099452,84965488,54278157,49821295,51594899,22670134,28924765,52504553,31608023,20896530,3025999,1748926,1277073,13701980,7308358,6393622,13154969,7625383,5529586,7969599,4930890,3038709,7266128,4785058,2481070,3839395,2584078,1255317,93051,58956,34095,35466,30839,4627,3061676,2326092,735584,61.7951526389162,46.9986816924699,14.7964709464463,82998509,25.4232795916852
10,State - SIKKIM,610577,546466,323070,287507,165625,71801,93824,444952,251269,193683,17628,10158,7470,116100,66658,49442,115601,62664,52937,69545,37520,32025,53268,31220,22048,36122,20910,15212,155,103,52,1633,1187,446,32669,19290,13379,81.4235469361314,68.8059811177203,12.6175658184111,540851,12.8919055340565
